id,smartphone_brand,smartphone_model,product_category,cost
29669,OnePlus,Galaxy S21,Mobile Device,47871
29670,Nokia,LG V60 ThinQ,Smartphone,138231
29671,Google,ZenFone 8,Electronics,149367
29672,Samsung,Pixel 5,Smartphone,125037
29673,Motorola,Galaxy S21,Electronics,67459
29674,OnePlus,Xperia 1 II,Smartphone,102454
29675,Huawei,Xperia 1 II,Mobile Device,139122
29676,OnePlus,Galaxy S21,Electronics,32943
29677,Apple,OnePlus 9,Mobile Device,175554
29678,Samsung,Mi 11,Electronics,109211
29679,LG,OnePlus 9,Smartphone,47886
29680,Motorola,Mi 11,Electronics,135898
29681,LG,ZenFone 8,Smartphone,24066
29682,LG,Nokia 8.3,Smartphone,168964
29683,Motorola,iPhone 12,Smartphone,164246
29684,Samsung,OnePlus 9,Mobile Device,13852
29685,LG,Galaxy S21,Electronics,86149
29686,Sony,Xperia 1 II,Electronics,46689
29687,LG,Nokia 8.3,Mobile Device,101358
29688,Samsung,Moto G Power,Smartphone,121664
29689,Huawei,Mi 11,Mobile Device,188944
29690,Motorola,Moto G Power,Electronics,60859
29691,Samsung,Galaxy S21,Smartphone,57892
29692,Google,Mi 11,Smartphone,103821
29693,Sony,Galaxy S21,Smartphone,159838
29694,Huawei,Nokia 8.3,Mobile Device,166069
29695,Nokia,Nokia 8.3,Smartphone,113128
29696,Google,Nokia 8.3,Mobile Device,173815
29697,LG,Galaxy S21,Mobile Device,182417
29698,Samsung,Xperia 1 II,Electronics,42790
29699,Xiaomi,Mi 11,Smartphone,161922
29700,LG,iPhone 12,Electronics,123310
29701,OnePlus,iPhone 12,Mobile Device,193659
29702,Huawei,Pixel 5,Electronics,76101
29703,Samsung,Xperia 1 II,Mobile Device,48933
29704,Apple,LG V60 ThinQ,Smartphone,161029
29705,Sony,Moto G Power,Mobile Device,62791
29706,Xiaomi,Pixel 5,Mobile Device,95106
29707,Nokia,iPhone 12,Electronics,89407
29708,Motorola,Pixel 5,Smartphone,9566
29709,Motorola,Xperia 1 II,Smartphone,23227
29710,Xiaomi,LG V60 ThinQ,Mobile Device,106634
29711,Apple,Xperia 1 II,Smartphone,19388
29712,Xiaomi,LG V60 ThinQ,Electronics,19432
29713,Motorola,iPhone 12,Electronics,75560
29714,Nokia,iPhone 12,Mobile Device,19193
29715,Samsung,Xperia 1 II,Smartphone,183484
29716,LG,Nokia 8.3,Mobile Device,61699
29717,LG,Pixel 5,Electronics,114632
29718,Samsung,Nokia 8.3,Mobile Device,72619
29719,Xiaomi,Galaxy S21,Smartphone,87510
29720,Motorola,Mi 11,Smartphone,20481
29721,Nokia,Moto G Power,Smartphone,38522
29722,Sony,Xperia 1 II,Smartphone,15546
29723,Xiaomi,iPhone 12,Mobile Device,167927
29724,Sony,OnePlus 9,Electronics,28538
29725,LG,Nokia 8.3,Mobile Device,169119
29726,Nokia,OnePlus 9,Mobile Device,44183
29727,Huawei,Pixel 5,Electronics,162320
29728,Samsung,Moto G Power,Smartphone,72159
29729,Huawei,Nokia 8.3,Smartphone,91556
29730,LG,ZenFone 8,Smartphone,186038
29731,Apple,Nokia 8.3,Mobile Device,64363
29732,Google,LG V60 ThinQ,Electronics,11473
29733,Motorola,ZenFone 8,Smartphone,75183
29734,Google,ZenFone 8,Mobile Device,48876
29735,Google,iPhone 12,Electronics,101278
29736,Huawei,Galaxy S21,Smartphone,137207
29737,Huawei,Moto G Power,Mobile Device,133466
29738,Xiaomi,iPhone 12,Mobile Device,149431
29739,Samsung,LG V60 ThinQ,Electronics,101342
29740,OnePlus,Moto G Power,Mobile Device,28426
29741,Sony,Xperia 1 II,Mobile Device,125562
29742,Nokia,Pixel 5,Smartphone,76350
29743,Sony,Moto G Power,Mobile Device,29598
29744,OnePlus,LG V60 ThinQ,Mobile Device,199383
29745,Nokia,Galaxy S21,Electronics,61829
29746,Google,Pixel 5,Electronics,97683
29747,Huawei,Pixel 5,Mobile Device,183141
29748,Xiaomi,Galaxy S21,Electronics,87809
29749,OnePlus,Galaxy S21,Electronics,27904
29750,Samsung,Pixel 5,Electronics,107999
29751,Xiaomi,ZenFone 8,Electronics,9621
29752,Huawei,Nokia 8.3,Mobile Device,175943
29753,LG,Galaxy S21,Smartphone,48847
29754,Nokia,iPhone 12,Electronics,152088
29755,Sony,Mi 11,Mobile Device,106998
29756,LG,OnePlus 9,Mobile Device,67298
29757,Nokia,Moto G Power,Electronics,78186
29758,Nokia,iPhone 12,Mobile Device,32380
29759,Sony,Galaxy S21,Electronics,87057
29760,Motorola,iPhone 12,Electronics,105767
29761,OnePlus,Nokia 8.3,Mobile Device,15482
29762,Apple,Xperia 1 II,Electronics,42114
29763,Samsung,ZenFone 8,Electronics,156957
29764,Samsung,Nokia 8.3,Mobile Device,71335
29765,Huawei,Xperia 1 II,Mobile Device,51549
29766,Huawei,iPhone 12,Mobile Device,15448
29767,Sony,Nokia 8.3,Electronics,164334
29768,Huawei,Mi 11,Mobile Device,46072
29769,Samsung,ZenFone 8,Electronics,130335
29770,Motorola,Nokia 8.3,Electronics,159973
29771,Samsung,Galaxy S21,Electronics,13387
29772,Google,Nokia 8.3,Electronics,95549
29773,Apple,Pixel 5,Mobile Device,66596
29774,Apple,ZenFone 8,Electronics,153990
29775,Xiaomi,Galaxy S21,Smartphone,160012
29776,OnePlus,Moto G Power,Smartphone,131878
29777,LG,ZenFone 8,Mobile Device,43424
29778,Motorola,Galaxy S21,Mobile Device,69143
29779,OnePlus,Moto G Power,Mobile Device,13094
29780,Huawei,Moto G Power,Mobile Device,65180
29781,Samsung,Xperia 1 II,Electronics,174522
29782,Google,OnePlus 9,Electronics,96530
29783,Sony,Moto G Power,Electronics,166447
29784,Motorola,Moto G Power,Mobile Device,52706
29785,Nokia,LG V60 ThinQ,Electronics,47007
29786,Apple,Xperia 1 II,Smartphone,64666
29787,Huawei,OnePlus 9,Smartphone,109716
29788,Nokia,Mi 11,Electronics,143845
29789,OnePlus,ZenFone 8,Electronics,140663
29790,LG,Xperia 1 II,Mobile Device,121432
29791,Sony,OnePlus 9,Mobile Device,67381
29792,LG,LG V60 ThinQ,Mobile Device,174496
29793,Huawei,Mi 11,Smartphone,110704
29794,OnePlus,ZenFone 8,Mobile Device,122248
29795,Apple,Pixel 5,Smartphone,180914
29796,Huawei,Xperia 1 II,Mobile Device,8036
29797,Xiaomi,ZenFone 8,Mobile Device,124781
29798,Sony,Mi 11,Electronics,145989
29799,Huawei,OnePlus 9,Electronics,144703
29800,Apple,Moto G Power,Smartphone,89833
29801,Sony,LG V60 ThinQ,Smartphone,188544
29802,Sony,Moto G Power,Electronics,7033
29803,Nokia,LG V60 ThinQ,Mobile Device,36509
29804,Samsung,Nokia 8.3,Smartphone,51310
29805,LG,Galaxy S21,Smartphone,188072
29806,OnePlus,Nokia 8.3,Smartphone,160613
29807,Apple,Mi 11,Mobile Device,54418
29808,Huawei,iPhone 12,Mobile Device,73475
29809,Samsung,Xperia 1 II,Electronics,19059
29810,Xiaomi,Moto G Power,Smartphone,96524
29811,Huawei,Pixel 5,Electronics,116919
29812,Samsung,Moto G Power,Electronics,151924
29813,LG,ZenFone 8,Mobile Device,133917
29814,Nokia,Xperia 1 II,Electronics,128359
29815,LG,Galaxy S21,Electronics,142478
29816,Huawei,Xperia 1 II,Mobile Device,115907
29817,LG,ZenFone 8,Smartphone,185358
29818,Huawei,OnePlus 9,Mobile Device,37580
29819,Google,LG V60 ThinQ,Smartphone,73241
29820,LG,Nokia 8.3,Electronics,53298
29821,Motorola,Nokia 8.3,Smartphone,11818
29822,Motorola,Pixel 5,Electronics,81492
29823,OnePlus,Mi 11,Smartphone,54104
29824,Motorola,Mi 11,Mobile Device,72783
29825,Google,Pixel 5,Smartphone,68959
29826,Nokia,ZenFone 8,Smartphone,120088
29827,Sony,Xperia 1 II,Electronics,100928
29828,Huawei,LG V60 ThinQ,Electronics,173642
29829,Huawei,iPhone 12,Electronics,138563
29830,LG,Galaxy S21,Mobile Device,87925
29831,LG,LG V60 ThinQ,Mobile Device,40734
29832,LG,iPhone 12,Electronics,107990
29833,Google,iPhone 12,Mobile Device,166626
29834,Sony,OnePlus 9,Smartphone,48924
29835,Samsung,iPhone 12,Electronics,67201
29836,Nokia,ZenFone 8,Smartphone,166560
29837,LG,Moto G Power,Electronics,63778
29838,Google,iPhone 12,Mobile Device,125894
29839,OnePlus,LG V60 ThinQ,Smartphone,140100
29840,Xiaomi,Mi 11,Mobile Device,107021
29841,Xiaomi,OnePlus 9,Mobile Device,66036
29842,Sony,Mi 11,Electronics,49874
29843,LG,Mi 11,Electronics,12014
29844,LG,Xperia 1 II,Electronics,43508
29845,Samsung,Galaxy S21,Smartphone,48822
29846,LG,Xperia 1 II,Electronics,115446
29847,Samsung,Pixel 5,Mobile Device,177978
29848,Xiaomi,ZenFone 8,Smartphone,39167
29849,Huawei,Galaxy S21,Mobile Device,163659
29850,OnePlus,Moto G Power,Smartphone,55496
29851,OnePlus,OnePlus 9,Electronics,49215
29852,Huawei,Moto G Power,Smartphone,129565
29853,Nokia,Xperia 1 II,Electronics,47939
29854,Nokia,OnePlus 9,Smartphone,94566
29855,Google,Pixel 5,Electronics,157793
29856,Nokia,Pixel 5,Electronics,83519
29857,Samsung,Nokia 8.3,Smartphone,12595
29858,Google,Moto G Power,Electronics,188393
29859,Huawei,iPhone 12,Electronics,159946
29860,Apple,Galaxy S21,Mobile Device,71430
29861,Huawei,Nokia 8.3,Smartphone,111873
29862,Google,Mi 11,Electronics,161013
29863,Huawei,OnePlus 9,Mobile Device,26460
29864,Sony,Mi 11,Mobile Device,67297
29865,Sony,ZenFone 8,Smartphone,140739
29866,OnePlus,Moto G Power,Mobile Device,119636
29867,Apple,Nokia 8.3,Electronics,193935
29868,OnePlus,Nokia 8.3,Electronics,69437
29869,Samsung,iPhone 12,Mobile Device,108720
29870,Xiaomi,iPhone 12,Smartphone,151820
29871,Google,LG V60 ThinQ,Electronics,88437
29872,OnePlus,Galaxy S21,Mobile Device,145434
29873,Xiaomi,Xperia 1 II,Smartphone,83813
29874,Samsung,Pixel 5,Electronics,134542
29875,Huawei,Moto G Power,Smartphone,98180
29876,LG,OnePlus 9,Electronics,187937
29877,Nokia,Pixel 5,Electronics,14030
29878,Nokia,Mi 11,Smartphone,131782
29879,LG,Moto G Power,Smartphone,61337
29880,Apple,iPhone 12,Mobile Device,126447
29881,Apple,Mi 11,Mobile Device,103480
29882,Nokia,Nokia 8.3,Electronics,78635
29883,OnePlus,Pixel 5,Smartphone,183752
29884,Google,Moto G Power,Electronics,72858
29885,Sony,OnePlus 9,Electronics,53729
29886,Nokia,Moto G Power,Mobile Device,79481
29887,Samsung,Mi 11,Electronics,70618
29888,Sony,ZenFone 8,Smartphone,93097
29889,Apple,Moto G Power,Electronics,57952
29890,Apple,iPhone 12,Smartphone,146803
29891,Samsung,Galaxy S21,Smartphone,138759
29892,Nokia,Moto G Power,Electronics,74572
29893,Apple,Nokia 8.3,Mobile Device,159265
29894,Motorola,iPhone 12,Mobile Device,145610
29895,Samsung,Galaxy S21,Smartphone,22407
29896,Xiaomi,Nokia 8.3,Smartphone,81443
29897,Xiaomi,iPhone 12,Smartphone,172291
29898,Google,OnePlus 9,Electronics,116149
29899,Samsung,iPhone 12,Mobile Device,138166
29900,Apple,Nokia 8.3,Smartphone,103311
29901,Sony,OnePlus 9,Electronics,196019
29902,Huawei,LG V60 ThinQ,Electronics,47637
29903,Nokia,LG V60 ThinQ,Electronics,44014
29904,LG,Galaxy S21,Electronics,22004
29905,Apple,Moto G Power,Mobile Device,194838
29906,Apple,Nokia 8.3,Mobile Device,150988
29907,Sony,ZenFone 8,Electronics,177289
29908,OnePlus,Mi 11,Smartphone,33111
29909,Samsung,Galaxy S21,Electronics,60892
29910,Nokia,Pixel 5,Smartphone,181154
29911,Samsung,ZenFone 8,Electronics,152495
29912,Nokia,Moto G Power,Smartphone,143857
29913,OnePlus,LG V60 ThinQ,Mobile Device,159762
29914,Sony,OnePlus 9,Smartphone,151367
29915,Xiaomi,Pixel 5,Electronics,141286
29916,Google,Galaxy S21,Electronics,39396
29917,Motorola,iPhone 12,Electronics,95477
29918,Nokia,Pixel 5,Mobile Device,136650
29919,Huawei,ZenFone 8,Smartphone,108060
29920,Huawei,LG V60 ThinQ,Electronics,38787
29921,Google,Nokia 8.3,Mobile Device,19630
29922,Huawei,iPhone 12,Electronics,94933
29923,Sony,iPhone 12,Mobile Device,183495
29924,Google,OnePlus 9,Electronics,197445
29925,LG,Nokia 8.3,Electronics,130165
29926,Apple,Pixel 5,Electronics,9647
29927,Samsung,LG V60 ThinQ,Electronics,146587
29928,LG,Nokia 8.3,Electronics,28445
29929,Motorola,Moto G Power,Electronics,159152
29930,Google,ZenFone 8,Electronics,50238
29931,OnePlus,Xperia 1 II,Smartphone,180781
29932,LG,Mi 11,Electronics,48450
29933,Google,OnePlus 9,Smartphone,40244
29934,Motorola,LG V60 ThinQ,Smartphone,195693
29935,Samsung,Moto G Power,Smartphone,165227
29936,Sony,iPhone 12,Electronics,26900
29937,Nokia,Mi 11,Mobile Device,10308
29938,Sony,Mi 11,Mobile Device,182770
29939,Motorola,LG V60 ThinQ,Electronics,175078
29940,LG,ZenFone 8,Smartphone,132221
29941,Nokia,Xperia 1 II,Smartphone,14902
29942,Samsung,LG V60 ThinQ,Mobile Device,128000
29943,Motorola,Moto G Power,Electronics,114483
29944,Sony,OnePlus 9,Electronics,17214
29945,Samsung,ZenFone 8,Smartphone,139648
29946,Apple,ZenFone 8,Mobile Device,21514
29947,Samsung,OnePlus 9,Smartphone,166064
29948,Huawei,LG V60 ThinQ,Mobile Device,37817
29949,Nokia,OnePlus 9,Mobile Device,46824
29950,Motorola,OnePlus 9,Electronics,185824
29951,Motorola,LG V60 ThinQ,Electronics,129494
29952,Nokia,OnePlus 9,Smartphone,166584
29953,Nokia,OnePlus 9,Mobile Device,48290
29954,Motorola,Moto G Power,Electronics,187551
29955,Xiaomi,ZenFone 8,Smartphone,16442
29956,OnePlus,Xperia 1 II,Smartphone,179318
29957,Nokia,OnePlus 9,Electronics,166869
29958,OnePlus,ZenFone 8,Electronics,63849
29959,Google,LG V60 ThinQ,Mobile Device,26484
29960,LG,Moto G Power,Electronics,135497
29961,OnePlus,OnePlus 9,Mobile Device,97795
29962,OnePlus,Nokia 8.3,Electronics,74445
29963,Huawei,iPhone 12,Electronics,178156
29964,LG,LG V60 ThinQ,Mobile Device,31913
29965,OnePlus,OnePlus 9,Mobile Device,17772
29966,Huawei,Pixel 5,Smartphone,137141
29967,Xiaomi,iPhone 12,Mobile Device,111574
29968,Samsung,LG V60 ThinQ,Smartphone,127817
29969,Google,Galaxy S21,Electronics,25504
29970,Sony,LG V60 ThinQ,Mobile Device,30871
29971,Google,Pixel 5,Electronics,34518
29972,Huawei,Galaxy S21,Smartphone,122662
29973,Nokia,Nokia 8.3,Smartphone,37891
29974,OnePlus,Mi 11,Electronics,158314
29975,Motorola,OnePlus 9,Electronics,57090
29976,Nokia,LG V60 ThinQ,Electronics,66442
29977,Nokia,Xperia 1 II,Mobile Device,53837
29978,LG,OnePlus 9,Smartphone,9325
29979,Motorola,Nokia 8.3,Smartphone,81861
29980,Nokia,Mi 11,Electronics,126551
29981,Huawei,iPhone 12,Smartphone,104922
29982,Google,Mi 11,Electronics,87454
29983,OnePlus,LG V60 ThinQ,Electronics,124560
29984,Huawei,Mi 11,Electronics,121185
29985,Samsung,Mi 11,Smartphone,21807
29986,Google,Nokia 8.3,Mobile Device,79897
29987,Apple,LG V60 ThinQ,Electronics,189476
29988,Sony,iPhone 12,Mobile Device,65671
29989,Samsung,Xperia 1 II,Mobile Device,42299
29990,Sony,iPhone 12,Mobile Device,108519
29991,LG,Nokia 8.3,Electronics,153321
29992,Google,Nokia 8.3,Mobile Device,151229
29993,Google,Mi 11,Mobile Device,33642
29994,Google,Galaxy S21,Smartphone,145907
29995,Huawei,Moto G Power,Mobile Device,33396
29996,LG,Pixel 5,Smartphone,54940
29997,Apple,Nokia 8.3,Smartphone,192886
29998,Apple,Pixel 5,Smartphone,20564
29999,Xiaomi,Mi 11,Mobile Device,122748
30000,Sony,Galaxy S21,Smartphone,40945
30001,Apple,Xperia 1 II,Electronics,69543
30002,LG,LG V60 ThinQ,Smartphone,198114
30003,Apple,Mi 11,Smartphone,52947
30004,Apple,Moto G Power,Smartphone,36649
30005,Huawei,OnePlus 9,Mobile Device,21881
30006,LG,Moto G Power,Mobile Device,38599
30007,Sony,iPhone 12,Smartphone,85848
30008,LG,LG V60 ThinQ,Smartphone,114618
30009,Apple,Pixel 5,Smartphone,110755
30010,Google,OnePlus 9,Mobile Device,173720
30011,Google,LG V60 ThinQ,Electronics,168671
30012,Motorola,Mi 11,Electronics,109516
30013,Motorola,iPhone 12,Electronics,10960
30014,Huawei,iPhone 12,Smartphone,84204
30015,Samsung,ZenFone 8,Smartphone,74597
30016,Google,Pixel 5,Mobile Device,197818
30017,Apple,ZenFone 8,Mobile Device,8840
30018,Xiaomi,LG V60 ThinQ,Smartphone,45808
30019,OnePlus,OnePlus 9,Smartphone,58717
30020,Huawei,ZenFone 8,Smartphone,170847
30021,Nokia,Galaxy S21,Electronics,134926
30022,Motorola,ZenFone 8,Mobile Device,81331
30023,Apple,Mi 11,Electronics,31193
30024,Xiaomi,Nokia 8.3,Mobile Device,137067
30025,Motorola,Moto G Power,Smartphone,160560
30026,Sony,ZenFone 8,Mobile Device,25378
30027,Huawei,OnePlus 9,Smartphone,72651
30028,Samsung,Nokia 8.3,Electronics,71446
30029,Samsung,Galaxy S21,Smartphone,183712
30030,Huawei,LG V60 ThinQ,Mobile Device,15342
30031,Nokia,iPhone 12,Electronics,100373
30032,Apple,iPhone 12,Electronics,96399
30033,Apple,Xperia 1 II,Electronics,154000
30034,Nokia,ZenFone 8,Smartphone,180255
30035,Motorola,Galaxy S21,Smartphone,12246
30036,Apple,Nokia 8.3,Smartphone,118144
30037,Nokia,Pixel 5,Smartphone,135158
30038,Huawei,Moto G Power,Smartphone,39881
30039,Huawei,LG V60 ThinQ,Smartphone,124432
30040,OnePlus,Pixel 5,Smartphone,79366
30041,Sony,Moto G Power,Mobile Device,162095
30042,Sony,Xperia 1 II,Smartphone,97732
30043,Sony,Pixel 5,Smartphone,72489
30044,LG,OnePlus 9,Mobile Device,178502
30045,Nokia,Moto G Power,Smartphone,71489
30046,OnePlus,OnePlus 9,Electronics,64254
30047,Google,ZenFone 8,Electronics,194508
30048,LG,Mi 11,Mobile Device,15974
30049,OnePlus,OnePlus 9,Smartphone,68838
30050,Apple,Mi 11,Mobile Device,95649
30051,Huawei,Nokia 8.3,Smartphone,10084
30052,Nokia,Galaxy S21,Mobile Device,147997
30053,Google,Moto G Power,Mobile Device,83848
30054,LG,Nokia 8.3,Smartphone,103955
30055,Google,Galaxy S21,Electronics,15671
30056,Sony,Pixel 5,Mobile Device,30999
30057,Apple,iPhone 12,Smartphone,183446
30058,Motorola,iPhone 12,Smartphone,111841
30059,Sony,Mi 11,Mobile Device,152925
30060,Huawei,LG V60 ThinQ,Electronics,127831
30061,Sony,Pixel 5,Smartphone,33607
30062,Google,OnePlus 9,Mobile Device,178045
30063,Google,LG V60 ThinQ,Electronics,121762
30064,Huawei,Mi 11,Smartphone,87170
30065,Nokia,Galaxy S21,Smartphone,133688
30066,Sony,Moto G Power,Smartphone,193310
30067,Samsung,ZenFone 8,Electronics,63272
30068,Samsung,OnePlus 9,Smartphone,100396
30069,Sony,Nokia 8.3,Smartphone,114888
30070,Google,OnePlus 9,Smartphone,23575
30071,Sony,ZenFone 8,Mobile Device,60640
30072,Huawei,Xperia 1 II,Mobile Device,107553
30073,Huawei,Galaxy S21,Electronics,178800
30074,Google,Galaxy S21,Electronics,73054
30075,Apple,ZenFone 8,Mobile Device,76113
30076,LG,Moto G Power,Electronics,45230
30077,Xiaomi,Galaxy S21,Electronics,136458
30078,Nokia,Galaxy S21,Electronics,66877
30079,LG,Xperia 1 II,Mobile Device,50521
30080,Huawei,iPhone 12,Mobile Device,73815
30081,Samsung,Pixel 5,Mobile Device,123608
30082,OnePlus,Pixel 5,Mobile Device,31661
30083,Motorola,LG V60 ThinQ,Electronics,156241
30084,Samsung,OnePlus 9,Mobile Device,60665
30085,LG,Xperia 1 II,Mobile Device,188895
30086,Sony,Mi 11,Electronics,68708
30087,Google,Nokia 8.3,Mobile Device,147562
30088,Xiaomi,LG V60 ThinQ,Mobile Device,54403
30089,Xiaomi,OnePlus 9,Mobile Device,183329
30090,Motorola,Pixel 5,Electronics,182074
30091,Motorola,Pixel 5,Smartphone,144709
30092,Motorola,Pixel 5,Smartphone,14482
30093,Apple,Mi 11,Smartphone,29094
30094,OnePlus,iPhone 12,Smartphone,144444
30095,Motorola,OnePlus 9,Electronics,34677
30096,Sony,Pixel 5,Smartphone,189954
30097,Apple,Xperia 1 II,Mobile Device,17346
30098,Samsung,LG V60 ThinQ,Mobile Device,128384
30099,Motorola,Mi 11,Mobile Device,170181
30100,Samsung,LG V60 ThinQ,Electronics,163125
30101,Sony,LG V60 ThinQ,Smartphone,155991
30102,Google,Moto G Power,Electronics,183187
30103,Sony,Mi 11,Smartphone,108009
30104,Apple,LG V60 ThinQ,Mobile Device,8036
30105,Huawei,ZenFone 8,Mobile Device,187264
30106,Huawei,Galaxy S21,Electronics,171116
30107,Google,LG V60 ThinQ,Electronics,83122
30108,Xiaomi,Pixel 5,Electronics,67187
30109,Samsung,Galaxy S21,Smartphone,96749
30110,Nokia,Pixel 5,Smartphone,29445
30111,Huawei,Nokia 8.3,Electronics,29662
30112,OnePlus,Mi 11,Mobile Device,98992
30113,OnePlus,Mi 11,Smartphone,117152
30114,Nokia,ZenFone 8,Mobile Device,140413
30115,Samsung,Mi 11,Electronics,107726
30116,Xiaomi,OnePlus 9,Mobile Device,73600
30117,Samsung,LG V60 ThinQ,Smartphone,72694
30118,LG,ZenFone 8,Smartphone,70664
30119,Nokia,Mi 11,Smartphone,106169
30120,Samsung,iPhone 12,Electronics,115856
30121,Motorola,ZenFone 8,Smartphone,41946
30122,Google,LG V60 ThinQ,Smartphone,137522
30123,Samsung,OnePlus 9,Electronics,76816
30124,Motorola,iPhone 12,Smartphone,43462
30125,Sony,Xperia 1 II,Electronics,166627
30126,Xiaomi,Mi 11,Electronics,99990
30127,Google,Pixel 5,Electronics,123481
30128,Google,Galaxy S21,Mobile Device,118446
30129,Xiaomi,LG V60 ThinQ,Mobile Device,123468
30130,Apple,Moto G Power,Mobile Device,51508
30131,Huawei,Galaxy S21,Smartphone,12759
30132,Nokia,ZenFone 8,Smartphone,71565
30133,LG,LG V60 ThinQ,Smartphone,51735
30134,Motorola,Moto G Power,Mobile Device,73313
30135,Motorola,Mi 11,Electronics,96964
30136,Samsung,Galaxy S21,Smartphone,104595
30137,LG,OnePlus 9,Smartphone,103816
30138,Motorola,OnePlus 9,Mobile Device,172570
30139,Google,ZenFone 8,Electronics,40574
30140,LG,iPhone 12,Electronics,140262
30141,Google,LG V60 ThinQ,Mobile Device,35858
30142,Nokia,Pixel 5,Electronics,128227
30143,Xiaomi,iPhone 12,Smartphone,93154
30144,Xiaomi,OnePlus 9,Smartphone,175576
30145,Apple,LG V60 ThinQ,Electronics,174367
30146,Motorola,LG V60 ThinQ,Smartphone,76940
30147,Motorola,ZenFone 8,Mobile Device,90972
30148,Motorola,OnePlus 9,Smartphone,60622
30149,Huawei,Galaxy S21,Mobile Device,103161
30150,Google,LG V60 ThinQ,Mobile Device,156013
30151,Google,Pixel 5,Electronics,45216
30152,LG,ZenFone 8,Smartphone,133382
30153,Apple,OnePlus 9,Mobile Device,139613
30154,Sony,Mi 11,Mobile Device,60641
30155,Xiaomi,ZenFone 8,Smartphone,21227
30156,Sony,LG V60 ThinQ,Smartphone,116300
30157,LG,ZenFone 8,Mobile Device,69669
30158,Huawei,Mi 11,Smartphone,100023
30159,Motorola,LG V60 ThinQ,Mobile Device,24743
30160,Huawei,Galaxy S21,Smartphone,24735
30161,OnePlus,Nokia 8.3,Smartphone,25328
30162,Xiaomi,OnePlus 9,Smartphone,18084
30163,Apple,Pixel 5,Smartphone,140986
30164,Motorola,Galaxy S21,Electronics,124673
30165,Samsung,Nokia 8.3,Mobile Device,128345
30166,Google,Mi 11,Smartphone,118543
30167,Apple,Xperia 1 II,Smartphone,82092
30168,LG,Nokia 8.3,Smartphone,96480
30169,Motorola,Galaxy S21,Smartphone,61020
30170,Google,ZenFone 8,Electronics,51576
30171,Motorola,Nokia 8.3,Mobile Device,70725
30172,Nokia,Pixel 5,Smartphone,146092
30173,Motorola,Nokia 8.3,Smartphone,193047
30174,Huawei,Pixel 5,Mobile Device,74884
30175,OnePlus,ZenFone 8,Electronics,74981
30176,Motorola,Mi 11,Smartphone,25826
30177,Motorola,Xperia 1 II,Smartphone,154721
30178,Google,Mi 11,Electronics,31328
30179,Samsung,Moto G Power,Mobile Device,191422
30180,Xiaomi,Nokia 8.3,Smartphone,143808
30181,Xiaomi,Moto G Power,Electronics,186921
30182,Samsung,Nokia 8.3,Mobile Device,15064
30183,Nokia,ZenFone 8,Electronics,43780
30184,Samsung,iPhone 12,Electronics,45221
30185,Xiaomi,iPhone 12,Electronics,177916
30186,LG,Pixel 5,Mobile Device,156081
30187,Motorola,Galaxy S21,Smartphone,175638
30188,OnePlus,Pixel 5,Smartphone,141188
30189,Apple,ZenFone 8,Smartphone,196175
30190,Xiaomi,Moto G Power,Smartphone,83279
30191,LG,Nokia 8.3,Mobile Device,34526
30192,OnePlus,iPhone 12,Smartphone,175070
30193,Google,OnePlus 9,Mobile Device,182493
30194,Xiaomi,ZenFone 8,Smartphone,99848
30195,Xiaomi,Moto G Power,Electronics,167376
30196,Google,iPhone 12,Electronics,193352
30197,LG,OnePlus 9,Electronics,41146
30198,Samsung,OnePlus 9,Smartphone,32833
30199,LG,Galaxy S21,Electronics,146786
30200,Sony,Xperia 1 II,Mobile Device,141291
30201,Huawei,OnePlus 9,Smartphone,55754
30202,Google,Mi 11,Mobile Device,41575
30203,LG,Galaxy S21,Electronics,132602
30204,LG,iPhone 12,Mobile Device,86663
30205,Motorola,iPhone 12,Smartphone,54783
30206,Samsung,Mi 11,Mobile Device,156522
30207,Motorola,OnePlus 9,Electronics,108285
30208,Nokia,Xperia 1 II,Smartphone,63872
30209,Apple,Mi 11,Electronics,171268
30210,Samsung,LG V60 ThinQ,Mobile Device,94037
30211,Xiaomi,Nokia 8.3,Mobile Device,126534
30212,Nokia,iPhone 12,Electronics,108741
30213,Apple,Moto G Power,Mobile Device,100198
30214,Motorola,iPhone 12,Mobile Device,7399
30215,Huawei,OnePlus 9,Mobile Device,152704
30216,LG,Moto G Power,Mobile Device,109614
30217,Nokia,LG V60 ThinQ,Electronics,7349
30218,Huawei,iPhone 12,Electronics,94598
30219,OnePlus,Galaxy S21,Mobile Device,153652
30220,Motorola,Mi 11,Smartphone,15913
30221,Apple,Nokia 8.3,Electronics,84327
30222,Motorola,Galaxy S21,Smartphone,74031
30223,Google,Nokia 8.3,Smartphone,82933
30224,Motorola,Nokia 8.3,Mobile Device,115431
30225,Sony,ZenFone 8,Electronics,9726
30226,OnePlus,LG V60 ThinQ,Electronics,61775
30227,Google,Mi 11,Smartphone,26173
30228,OnePlus,Mi 11,Mobile Device,121813
30229,Motorola,OnePlus 9,Electronics,170870
30230,Motorola,Moto G Power,Electronics,146022
30231,Sony,Mi 11,Mobile Device,179647
30232,Sony,Moto G Power,Electronics,125206
30233,Sony,Pixel 5,Mobile Device,150104
30234,Google,ZenFone 8,Electronics,27522
30235,Huawei,LG V60 ThinQ,Electronics,107383
30236,Xiaomi,Pixel 5,Mobile Device,189021
